Respondent ID,Start Date,End Date,Email Address,First Name,Last Name,Custom Data 1,Identify which division you work in.,,Which of the following best describes your position level?,Which generation are you apart of?,Please select the gender in which you identify.,Which duration range best aligns with your tenure at your company?,Which of the following best describes your employment type?,Question 1,Question 2,Question 3,Question 4,,Question 5,,,,,,Question 6,,,,,,Question 7,,Question 8,,,,Question 9,,,,Question 10,,,,,Question 11,,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19,,Question 20,Question 21,Question 22,,Question 23,Question 24,,,,,Question 25,,,,,,,,,Question 26,,,,Question 27,,Question 28,Question 29,,,,,,,,,,,,,,Question 30,,
2618791107,2021-01-14 12:46:04,2021-01-14 12:53:43,,,,,Infrastructure,,Manager,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Answer 1,,,,Answer 8,,,,Answer 6,Answer 2,,Answer 6,Answer 7,,Answer 2,Answer 6,,,Answer 2,,,Answer 5,,,Answer 8,Answer 1,Answer 3,,,,Answer 5,,Answer 2,Answer 5,Answer 3,,Answer 1,Answer 7,,Answer 6,Answer 4,Answer 3,Answer 2,,Answer 2,,Answer 1,Answer 1,,Answer 7,Answer 8,Answer 4,,Answer 1,Answer 4,,,,Answer 5,Answer 6,Answer 8,Answer 7,Answer 6,,,Answer 6,,Answer 7,Answer 4,Answer 3,Answer 7,Answer 6,Answer 7,Answer 4,,Answer 1,,Answer 3,,,Answer 8,Answer 8,,,Answer 2,Answer 5
9806028857,2021-01-14 08:43:40,2021-01-14 10:40:53,,,,,,,,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Answer 5,Answer 8,,Answer 3,Answer 1,Answer 3,Answer 1,,Answer 2,,Answer 7,Answer 8,,,Answer 1,Answer 6,,Answer 7,,,,Answer 6,,Answer 1,Answer 4,Answer 3,,,Answer 2,Answer 4,,Answer 1,Answer 7,,,Answer 1,Answer 8,,Answer 2,,Answer 7,Answer 7,Answer 2,,,,,Answer 6,,,Answer 8,Answer 6,,Answer 8,Answer 8,,Answer 3,Answer 1,,,Answer 8,Answer 7,,Answer 2,,,,,,Answer 4,,,Answer 1,,Answer 3,Answer 2,Answer 7,,,,Answer 5,Answer 3,Answer 8,,,
4870706994,2021-01-14 06:30:46,2021-01-14 06:54:50,,,,,Commercial,,Staff,Prefer not to answer,Prefer not to answer,10+ years,Full time Employee,Answer 6,Answer 6,,Answer 3,Answer 2,Answer 4,Answer 4,,,,Answer 3,Answer 4,,Answer 3,,Answer 7,,Answer 5,,,Answer 5,Answer 3,Answer 2,Answer 3,Answer 3,Answer 4,,Answer 5,,Answer 1,Answer 5,,Answer 7,,Answer 2,,Answer 6,Answer 2,,Answer 1,Answer 1,Answer 8,Answer 8,,Answer 7,Answer 5,,,Answer 5,Answer 1,,,,,Answer 4,,Answer 1,,Answer 4,,,,Answer 5,,,,Answer 4,Answer 8,,,Answer 1,Answer 6,Answer 4,Answer 4,Answer 4,Answer 3,Answer 1,,Answer 2,,Answer 7,Answer 6,Answer 4,Answer 1,Answer 3,
5382550855,2021-01-14 06:05:23,2021-01-14 06:30:41,,,,,Finance,,Department Lead,Baby Boomer (born between 1946-1964),Male,0-2 years,Full time Employee,,Answer 4,Answer 7,,,,Answer 5,,Answer 4,Answer 6,Answer 1,Answer 4,Answer 1,Answer 2,,,,Answer 4,Answer 5,,,Answer 1,Answer 5,,Answer 6,,Answer 8,Answer 3,Answer 7,Answer 8,Answer 7,Answer 8,,Answer 7,Answer 2,Answer 7,Answer 1,Answer 6,,,,,,Answer 7,,,Answer 1,,,Answer 4,Answer 6,Answer 6,Answer 2,Answer 1,Answer 8,,,,,Answer 6,,,,,Answer 6,,Answer 3,,Answer 8,Answer 8,Answer 3,,Answer 2,,,,Answer 2,Answer 7,,Answer 6,,Answer 3,Answer 5,Answer 5,Answer 1,
5297870739,2021-01-13 13:31:13,2021-01-13 15:21:13,,,,,Commercial,,Staff,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,,Answer 6,Answer 7,Answer 3,Answer 4,Answer 3,Answer 4,,Answer 2,Answer 8,Answer 6,Answer 5,,Answer 3,Answer 2,Answer 7,Answer 6,Answer 6,,,Answer 8,,Answer 7,,,Answer 4,Answer 2,,Answer 1,,Answer 6,,Answer 1,Answer 1,,Answer 5,Answer 3,Answer 1,Answer 5,,Answer 4,Answer 4,,Answer 5,,,,Answer 5,Answer 5,,Answer 2,,Answer 1,,Answer 5,,Answer 3,Answer 1,Answer 1,,,Answer 4,,Answer 4,,Answer 8,Answer 4,Answer 1,,,,,Answer 8,,,Answer 6,,Answer 6,,Answer 5,,Answer 6,Answer 1,,Answer 4,
9718877248,2021-01-13 13:26:30,2021-01-13 14:24:10,,,,,Infrastructure,,Manager,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,,,,Answer 8,Answer 6,,Answer 3,,,,Answer 8,,,,,Answer 3,Answer 5,Answer 3,Answer 6,Answer 6,,Answer 2,Answer 1,Answer 4,Answer 6,Answer 5,,Answer 7,,,,,,,Answer 4,,Answer 2,,Answer 7,Answer 5,Answer 8,Answer 5,Answer 1,,,,,,,,Answer 6,,Answer 5,Answer 6,,,,,Answer 6,,,Answer 2,Answer 1,Answer 8,Answer 2,Answer 7,Answer 7,Answer 1,Answer 3,Answer 8,,,,Answer 7,Answer 4,,Answer 5,Answer 6,,Answer 3,,,Answer 8,Answer 5,Answer 3,
8830958949,2021-01-13 13:08:55,2021-01-13 13:16:08,,,,,Finance,,Staff,Prefer not to answer,Prefer not to answer,3-5 years,Full time Employee,,Answer 8,Answer 5,Answer 6,,Answer 3,,,,Answer 1,Answer 7,,Answer 6,,,,,Answer 4,Answer 8,,,,,,Answer 7,Answer 7,Answer 7,Answer 6,Answer 6,Answer 2,,,Answer 3,,Answer 8,Answer 7,Answer 1,,Answer 7,Answer 3,Answer 1,Answer 1,Answer 5,,,Answer 8,,,,,Answer 7,Answer 6,,,,Answer 4,Answer 7,Answer 5,Answer 1,Answer 7,,Answer 5,,Answer 7,Answer 3,,,Answer 1,Answer 2,Answer 4,,,,,Answer 7,,Answer 3,Answer 5,,,Answer 5,Answer 8,,Answer 4,,Answer 5
7852677398,2021-01-13 11:17:48,2021-01-13 14:58:39,,,,,People,,Manager,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Answer 2,Answer 2,Answer 3,,Answer 4,,Answer 8,Answer 7,,Answer 8,Answer 2,Answer 3,Answer 3,,Answer 5,,,,Answer 6,Answer 7,,,,Answer 2,,Answer 4,,,Answer 2,Answer 5,,Answer 8,Answer 4,Answer 8,Answer 6,,,,,,Answer 6,Answer 1,Answer 3,,,,Answer 3,Answer 2,Answer 6,,,Answer 4,Answer 2,Answer 6,,Answer 1,Answer 2,Answer 7,Answer 8,Answer 3,Answer 6,,Answer 3,,Answer 4,Answer 7,Answer 7,,Answer 6,,Answer 6,Answer 7,,,Answer 1,Answer 4,Answer 2,,,Answer 4,Answer 2,Answer 4,,,,
9806832932,2021-01-13 09:46:45,2021-01-13 10:09:33,,,,,Executive,,Chief / Executive,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,,,Answer 4,Answer 8,,,,,Answer 6,,Answer 8,Answer 7,,Answer 8,Answer 4,,Answer 7,Answer 2,Answer 4,,Answer 7,Answer 1,Answer 2,Answer 3,,,,Answer 7,,Answer 6,,Answer 8,,,,,Answer 7,Answer 3,,Answer 7,Answer 3,Answer 7,,Answer 6,Answer 6,,,,,Answer 8,Answer 7,Answer 8,,,Answer 1,,,Answer 3,Answer 1,Answer 4,Answer 5,,Answer 6,,Answer 4,,,Answer 8,Answer 7,,,,,Answer 5,Answer 3,Answer 7,,,Answer 2,Answer 7,,Answer 4,Answer 8,,,Answer 3
5585138853,2021-01-13 09:35:43,2021-01-13 10:03:06,,,,,Executive,,Manager,Prefer not to answer,Prefer not to answer,10+ years,Full time Employee,Answer 5,Answer 2,Answer 4,Answer 3,Answer 3,Answer 5,,,,,Answer 3,,,Answer 2,,Answer 5,,Answer 8,Answer 8,,Answer 1,Answer 4,Answer 2,,,Answer 8,Answer 2,,,Answer 1,,Answer 7,Answer 8,Answer 5,,Answer 8,,,Answer 4,Answer 5,Answer 2,,Answer 1,Answer 3,Answer 6,Answer 1,,Answer 4,Answer 1,Answer 2,,Answer 1,Answer 6,Answer 1,,Answer 4,Answer 3,Answer 8,,Answer 3,Answer 3,,,Answer 1,,Answer 1,Answer 8,Answer 8,Answer 5,,,Answer 5,,Answer 7,,Answer 1,Answer 1,,Answer 5,,Answer 1,Answer 8,Answer 8,Answer 5,Answer 8,Answer 1
8087395217,2021-01-13 06:30:31,2021-01-13 07:27:22,,,,,Infrastructure,,Staff,Millennial (born between 1981-2000),Male,3-5 years,Full time Employee,Answer 4,Answer 2,Answer 3,,Answer 8,,,Answer 8,Answer 1,,Answer 2,Answer 5,Answer 6,Answer 4,Answer 2,Answer 8,,Answer 6,,,Answer 3,Answer 7,Answer 8,,Answer 8,Answer 4,Answer 8,Answer 3,,Answer 3,Answer 5,Answer 3,Answer 3,,Answer 6,Answer 1,,,,Answer 6,,,Answer 6,Answer 5,,Answer 1,,Answer 8,,,Answer 6,Answer 3,Answer 7,Answer 6,,Answer 8,,,,Answer 6,Answer 4,Answer 1,,Answer 5,Answer 5,,,Answer 6,Answer 3,Answer 4,,,,,,,Answer 5,,Answer 7,Answer 5,,Answer 8,Answer 2,,Answer 6,Answer 6
5177954332,2021-01-12 18:05:02,2021-01-12 18:16:56,,,,,Finance,,Manager,Baby Boomer (born between 1946-1964),Male,5-10 years,Full time Employee,Answer 6,Answer 6,,Answer 5,Answer 2,,Answer 4,,,Answer 2,Answer 2,Answer 1,Answer 4,,Answer 1,Answer 1,,Answer 7,Answer 8,Answer 8,Answer 3,,Answer 3,,,,,Answer 7,Answer 4,Answer 2,Answer 8,Answer 4,Answer 2,,Answer 4,Answer 5,Answer 6,,Answer 6,Answer 4,,Answer 2,Answer 3,,,Answer 7,Answer 1,Answer 6,,Answer 3,,Answer 3,Answer 6,Answer 4,,Answer 8,,,,Answer 1,Answer 4,Answer 6,,Answer 5,,,Answer 2,Answer 4,Answer 3,,,Answer 2,,Answer 4,Answer 1,,,,,,Answer 3,Answer 2,Answer 1,Answer 2,Answer 6,Answer 2
1582292985,2021-01-12 15:06:23,2021-01-12 15:39:23,,,,,People,,Chief / Executive,Millennial (born between 1981-2000),Female,10+ years,Full time Employee,,,Answer 5,Answer 8,Answer 1,Answer 7,Answer 3,Answer 8,,,Answer 4,,,,,,Answer 2,,,Answer 5,Answer 3,,Answer 4,Answer 2,Answer 1,,,,,Answer 2,Answer 7,Answer 3,Answer 8,Answer 4,Answer 5,,Answer 4,Answer 6,Answer 8,,Answer 6,,,Answer 6,,,,Answer 1,Answer 8,,,Answer 7,Answer 5,,,,Answer 1,,Answer 6,Answer 5,Answer 2,,,,Answer 1,,,Answer 7,,Answer 5,Answer 4,Answer 7,Answer 7,Answer 3,,,Answer 1,Answer 7,,,,Answer 5,Answer 3,Answer 1,Answer 6,Answer 7
2932152777,2021-01-12 14:45:18,2021-01-12 14:47:10,,,,,Finance,,,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Answer 7,,Answer 8,,,,,Answer 4,Answer 7,Answer 4,Answer 7,,,,Answer 6,,Answer 8,Answer 6,,Answer 7,,Answer 6,,Answer 8,Answer 1,,Answer 2,,Answer 4,,Answer 6,Answer 1,Answer 3,,,Answer 1,Answer 4,Answer 2,,Answer 6,Answer 5,Answer 2,,,,Answer 3,Answer 7,,,Answer 6,Answer 8,,Answer 7,Answer 8,,,,Answer 1,Answer 3,Answer 5,Answer 6,Answer 5,Answer 7,Answer 5,Answer 1,Answer 3,,,,Answer 6,,Answer 2,Answer 1,Answer 7,,Answer 1,Answer 8,,Answer 7,,Answer 1,Answer 2,,,Answer 3,Answer 7
1627698070,2021-01-12 12:54:59,2021-01-12 14:52:15,,,,,Port Operations,,Manager,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,,Answer 5,Answer 1,,,Answer 7,,,Answer 6,Answer 5,,,Answer 5,,,Answer 7,Answer 6,,Answer 6,,Answer 3,Answer 8,Answer 6,,Answer 2,,,Answer 6,,,Answer 6,,Answer 8,,,Answer 5,Answer 7,Answer 6,Answer 1,Answer 2,Answer 4,,,Answer 3,Answer 8,Answer 2,,Answer 6,Answer 7,Answer 7,Answer 5,Answer 7,,,,Answer 2,,Answer 2,Answer 8,,Answer 5,Answer 2,,Answer 3,Answer 2,Answer 6,,Answer 6,Answer 2,Answer 2,Answer 2,,Answer 2,Answer 7,,,Answer 4,Answer 2,Answer 7,,,,Answer 2,Answer 3,,
9748686287,2021-01-12 13:55:17,2021-01-12 16:52:25,,,,,People,,Department Lead,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,,,Answer 6,Answer 2,,,Answer 4,Answer 8,Answer 4,Answer 6,Answer 7,Answer 7,,Answer 5,,Answer 7,,,,Answer 5,Answer 4,Answer 2,Answer 3,Answer 8,Answer 7,,,Answer 4,Answer 8,Answer 1,,Answer 7,,,,Answer 3,Answer 6,Answer 5,,,Answer 8,Answer 7,,,,Answer 7,Answer 7,Answer 6,,Answer 7,Answer 8,,Answer 1,,,Answer 6,Answer 5,,Answer 8,,,,Answer 6,,Answer 3,Answer 6,Answer 1,Answer 5,,,,Answer 7,,Answer 7,,Answer 2,,,,Answer 2,Answer 7,,,,,
7149169711,2021-01-12 13:54:04,2021-01-12 14:05:34,,,,,People,,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Answer 8,Answer 2,Answer 5,Answer 4,Answer 4,Answer 2,Answer 5,,,,Answer 5,,Answer 2,,Answer 6,Answer 6,Answer 5,Answer 8,,Answer 5,Answer 1,,,Answer 3,Answer 1,Answer 2,Answer 2,Answer 4,Answer 7,Answer 8,Answer 5,Answer 1,Answer 6,Answer 3,,,,,,Answer 1,Answer 4,Answer 7,,,Answer 7,Answer 7,,Answer 3,Answer 3,,Answer 6,Answer 3,Answer 3,Answer 3,Answer 3,Answer 4,Answer 7,,,Answer 4,,,,Answer 8,,,,,Answer 6,Answer 7,Answer 3,Answer 1,Answer 3,,,Answer 3,Answer 8,Answer 5,,Answer 4,Answer 8,,Answer 4,Answer 8,Answer 4,Answer 7
6206953310,2021-01-12 13:47:23,2021-01-12 14:05:56,,,,,Executive,,Staff,Prefer not to answer,Female,10+ years,Full time Employee,Answer 5,,Answer 2,Answer 5,,,Answer 2,Answer 7,,Answer 6,,Answer 4,Answer 8,Answer 3,,Answer 1,Answer 1,,Answer 3,,Answer 3,,Answer 7,Answer 4,,Answer 7,,Answer 4,Answer 1,Answer 6,,Answer 1,Answer 4,,Answer 7,Answer 6,Answer 5,,,Answer 7,Answer 6,Answer 1,,Answer 5,,Answer 4,Answer 4,,,Answer 7,,Answer 3,,,Answer 7,Answer 3,Answer 8,,Answer 6,Answer 4,,,Answer 6,Answer 7,,Answer 5,,Answer 8,Answer 6,,,Answer 6,Answer 8,Answer 5,Answer 8,,Answer 4,Answer 5,,,,Answer 8,Answer 4,Answer 2,,
9983361274,2021-01-12 11:00:34,2021-01-12 11:19:52,,,,,Information Technology,,Staff,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,,Answer 2,Answer 3,,Answer 1,Answer 2,,,Answer 1,Answer 1,,Answer 1,Answer 5,Answer 7,,Answer 5,,Answer 4,Answer 4,,,Answer 6,Answer 8,,,,Answer 6,,Answer 6,,,,Answer 7,Answer 3,Answer 1,Answer 2,,Answer 5,Answer 3,Answer 5,,,,,Answer 6,,Answer 1,Answer 8,,Answer 5,,Answer 6,Answer 8,Answer 4,Answer 5,Answer 2,,,Answer 2,Answer 4,Answer 7,,Answer 2,Answer 5,Answer 8,Answer 7,Answer 7,Answer 2,,Answer 6,Answer 7,Answer 5,Answer 7,Answer 8,Answer 2,Answer 6,Answer 5,,,Answer 6,,Answer 3,,,,Answer 8
8250575077,2021-01-12 10:44:01,2021-01-12 12:10:12,,,,,Finance,,Department Lead,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,,Answer 8,,,Answer 3,Answer 7,Answer 8,,,Answer 2,,Answer 1,,Answer 3,,Answer 2,Answer 4,Answer 1,Answer 4,Answer 5,Answer 7,,,,,Answer 2,Answer 1,,Answer 1,Answer 8,,Answer 4,,,,,Answer 6,Answer 2,,,,Answer 6,,,Answer 7,Answer 4,Answer 8,,Answer 3,,,Answer 4,Answer 4,Answer 2,,,Answer 7,Answer 4,Answer 8,,,Answer 5,,Answer 7,Answer 4,Answer 5,Answer 6,,,Answer 6,,Answer 7,,Answer 3,Answer 7,,,Answer 7,,Answer 2,,Answer 8,Answer 2,Answer 3,,
9183378071,2021-01-12 09:42:55,2021-01-12 10:17:39,,,,,People,,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Answer 6,Answer 4,Answer 8,,Answer 6,Answer 7,,,Answer 2,Answer 1,Answer 5,Answer 4,Answer 2,Answer 3,,Answer 8,,,,,,Answer 1,,,,Answer 2,Answer 7,,Answer 5,,,Answer 8,Answer 3,Answer 6,Answer 1,Answer 5,,Answer 7,,Answer 5,,Answer 8,Answer 7,Answer 7,Answer 7,Answer 3,,Answer 2,,Answer 7,,,,,Answer 7,,Answer 7,Answer 8,,,Answer 6,Answer 3,Answer 3,,,,,Answer 1,,,,Answer 6,,Answer 5,,Answer 2,Answer 7,Answer 1,,,,Answer 6,,,Answer 7,Answer 7
3868607625,2021-01-12 08:57:21,2021-01-12 10:54:42,,,,,Legal,,Manager,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Answer 2,Answer 5,Answer 8,Answer 1,Answer 8,,Answer 7,Answer 7,Answer 5,,,,,Answer 5,,Answer 3,Answer 5,,Answer 3,Answer 7,Answer 5,Answer 7,,,,Answer 5,,Answer 6,Answer 6,Answer 2,Answer 3,Answer 3,Answer 6,Answer 8,Answer 3,Answer 5,Answer 4,,Answer 6,Answer 6,Answer 7,Answer 2,,Answer 7,,Answer 1,,,Answer 7,Answer 7,Answer 2,,,,Answer 2,Answer 4,Answer 3,,Answer 5,Answer 8,Answer 8,,,Answer 2,,Answer 1,Answer 4,,,,Answer 5,Answer 5,,Answer 2,Answer 7,Answer 8,,Answer 2,,,,Answer 6,Answer 6,Answer 8,Answer 3,
1411900712,2021-01-12 08:48:00,2021-01-12 09:34:17,,,,,Finance,,Staff,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,,Answer 6,,,Answer 8,Answer 7,Answer 4,Answer 2,,,Answer 4,,Answer 4,,,Answer 4,,Answer 2,,,Answer 3,,,,,Answer 5,,,Answer 1,,Answer 3,Answer 5,Answer 5,Answer 1,Answer 2,Answer 3,Answer 7,,Answer 7,,Answer 3,,Answer 6,,Answer 8,Answer 4,Answer 8,,Answer 4,,Answer 4,Answer 7,,Answer 5,Answer 3,,,,Answer 3,Answer 8,,,,,,,,Answer 2,Answer 8,,Answer 8,,Answer 1,Answer 8,Answer 1,Answer 6,,Answer 2,,,,,,Answer 3,,Answer 4
3860289517,2021-01-12 08:48:15,2021-01-12 09:11:05,,,,,Government & Public Relations,,Staff,Generation X (born between 1965-1980),Female,3-5 years,Full time Employee,Answer 5,Answer 7,Answer 4,,Answer 2,Answer 3,Answer 5,,Answer 1,Answer 5,Answer 3,Answer 7,,,,,Answer 6,Answer 6,,Answer 3,,,Answer 7,Answer 5,Answer 5,,,,,Answer 5,,Answer 4,Answer 4,Answer 5,Answer 4,,,,Answer 4,Answer 4,Answer 8,,,,,,,Answer 4,Answer 1,,Answer 7,Answer 8,Answer 5,,,,,,Answer 1,Answer 1,,Answer 8,,,Answer 7,Answer 2,,,,Answer 3,Answer 8,,Answer 1,Answer 5,,,,Answer 2,,,Answer 3,,,Answer 7,Answer 6,Answer 2
6014941727,2021-01-12 08:11:54,2021-01-12 08:50:28,,,,,Commercial,,Manager,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Answer 5,Answer 3,,Answer 1,,Answer 5,Answer 1,Answer 3,,Answer 4,Answer 8,,Answer 8,Answer 7,Answer 7,,Answer 4,,,Answer 8,Answer 4,Answer 1,Answer 6,Answer 2,Answer 4,Answer 5,Answer 4,,Answer 5,Answer 8,Answer 4,Answer 2,Answer 2,Answer 6,Answer 8,Answer 2,,Answer 4,,Answer 8,,Answer 8,,Answer 1,,,,,,Answer 5,,,,,Answer 5,Answer 1,,,,,Answer 1,Answer 5,Answer 5,,Answer 7,Answer 4,,Answer 4,Answer 3,,Answer 1,Answer 6,,,,,,,Answer 8,Answer 2,Answer 5,Answer 6,Answer 5,Answer 4,,
9323454815,2021-01-12 07:01:22,2021-01-12 07:50:22,,,,,Finance,,Staff,Prefer not to answer,Prefer not to answer,10+ years,Full time Employee,,Answer 7,,Answer 2,,Answer 4,Answer 2,,Answer 7,Answer 4,Answer 7,Answer 6,,Answer 4,Answer 1,,Answer 2,Answer 8,Answer 4,,,,,,,,Answer 5,Answer 6,,Answer 2,,Answer 7,Answer 3,Answer 7,,Answer 8,Answer 8,Answer 3,Answer 8,,,Answer 1,Answer 7,Answer 6,Answer 2,Answer 6,,,,Answer 5,,Answer 2,,Answer 5,Answer 3,,Answer 3,Answer 2,Answer 8,,Answer 4,Answer 5,,Answer 7,Answer 1,Answer 5,Answer 5,,,,,,Answer 4,,Answer 1,Answer 8,Answer 3,,,Answer 6,,,Answer 7,Answer 7,,
8311558071,2021-01-12 06:43:28,2021-01-12 08:50:54,,,,,People,,Staff,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Answer 5,Answer 6,,,,,,,Answer 8,,Answer 1,,,Answer 3,Answer 6,Answer 3,,Answer 2,Answer 3,Answer 8,,,Answer 2,,,,,Answer 8,Answer 1,,Answer 5,,Answer 1,Answer 7,Answer 2,,,Answer 1,Answer 7,Answer 8,,,Answer 8,Answer 5,Answer 2,Answer 8,,Answer 6,Answer 5,,Answer 5,Answer 7,,,,,Answer 6,Answer 8,Answer 8,,Answer 6,Answer 8,,Answer 5,Answer 8,Answer 2,,Answer 4,,,Answer 5,Answer 8,Answer 7,Answer 8,Answer 5,Answer 5,,,,Answer 6,Answer 1,Answer 1,,Answer 6,Answer 1,
7819918439,2021-01-12 05:30:23,2021-01-12 06:24:52,,,,,People,,Staff,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,,,Answer 7,Answer 6,,Answer 7,,,,Answer 2,,Answer 6,,Answer 5,,,,,,,Answer 8,,Answer 4,Answer 6,Answer 3,Answer 1,,Answer 1,,Answer 2,,,,Answer 7,,Answer 2,,,Answer 3,Answer 8,Answer 5,,,Answer 6,Answer 2,Answer 7,,Answer 4,Answer 6,,Answer 2,,,,,,,Answer 8,Answer 8,,,,,Answer 2,Answer 7,,Answer 6,Answer 4,Answer 5,Answer 4,Answer 3,Answer 8,Answer 6,,,,,Answer 2,,Answer 8,,Answer 1,Answer 6,Answer 5,Answer 8,
2007145908,2021-01-12 05:11:54,2021-01-12 05:24:07,,,,,Infrastructure,,Staff,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,,,,Answer 6,,,Answer 7,,Answer 3,,Answer 6,Answer 1,,Answer 8,Answer 8,Answer 2,,Answer 5,Answer 7,Answer 3,,Answer 5,,Answer 3,Answer 8,,,,Answer 5,Answer 4,Answer 6,,Answer 4,Answer 3,Answer 1,,Answer 8,Answer 4,,Answer 8,,Answer 5,Answer 8,,,Answer 7,,Answer 1,,Answer 1,,Answer 3,,,Answer 2,Answer 6,Answer 2,,Answer 8,Answer 3,Answer 6,Answer 7,Answer 4,Answer 5,Answer 6,,Answer 8,,Answer 8,Answer 3,,Answer 7,Answer 3,Answer 7,Answer 1,Answer 6,Answer 7,,,Answer 7,,,,Answer 5,Answer 5,
5386015734,2021-01-12 05:03:19,2021-01-12 05:15:45,,,,,Port Operations,,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Answer 5,,,,Answer 6,,Answer 6,Answer 5,Answer 3,Answer 1,Answer 3,,,Answer 5,,Answer 1,Answer 7,Answer 5,Answer 1,,,,,Answer 5,Answer 2,,Answer 5,,Answer 1,,Answer 1,Answer 2,,Answer 8,,Answer 4,,Answer 1,Answer 4,Answer 8,Answer 1,,Answer 4,Answer 7,,Answer 5,,Answer 7,,,Answer 7,Answer 2,Answer 8,,Answer 2,Answer 5,,Answer 1,,,Answer 7,,Answer 7,Answer 5,Answer 4,Answer 6,Answer 7,Answer 6,Answer 8,Answer 3,Answer 2,Answer 1,Answer 7,,Answer 5,,Answer 8,Answer 4,Answer 8,Answer 2,Answer 8,,,Answer 4,Answer 6,Answer 7
2373830201,2021-01-11 20:15:08,2021-01-11 20:25:01,,,,,Infrastructure,,Department Lead,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Answer 8,,,Answer 3,Answer 2,Answer 4,Answer 7,Answer 2,Answer 8,Answer 1,Answer 5,,Answer 7,Answer 4,Answer 4,,Answer 3,Answer 5,,,,,Answer 5,Answer 4,,Answer 7,,Answer 8,Answer 1,Answer 8,Answer 7,Answer 6,,Answer 2,,Answer 4,,Answer 2,Answer 6,,,Answer 8,Answer 8,Answer 5,Answer 2,Answer 5,,,Answer 8,Answer 2,Answer 4,Answer 7,Answer 3,,,Answer 2,Answer 5,,,Answer 7,Answer 6,,,Answer 8,,,,,,Answer 3,,Answer 8,Answer 6,Answer 7,,Answer 1,Answer 7,Answer 4,,Answer 2,Answer 3,,,,,Answer 7
3564004995,2021-01-11 19:51:52,2021-01-11 20:03:59,,,,,Infrastructure,,Manager,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Answer 1,Answer 8,Answer 8,,,Answer 2,,,Answer 1,Answer 7,Answer 1,Answer 8,Answer 6,,Answer 3,,,Answer 7,Answer 2,Answer 1,Answer 5,,,,Answer 4,Answer 2,,Answer 6,,Answer 7,Answer 4,,,,,Answer 5,,,,,,Answer 4,Answer 2,Answer 4,Answer 6,Answer 1,Answer 8,,,Answer 2,Answer 2,,Answer 7,Answer 7,Answer 3,,Answer 6,Answer 5,,,,Answer 3,Answer 8,Answer 3,,,Answer 2,Answer 8,Answer 6,Answer 7,Answer 2,Answer 3,,,,,,,Answer 8,Answer 2,Answer 3,,Answer 4,Answer 5,,Answer 5
4947111306,2021-01-11 16:16:35,2021-01-11 16:35:33,,,,,People,,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,,,Answer 2,,,Answer 4,Answer 7,Answer 1,Answer 4,Answer 8,Answer 6,,,,,Answer 1,,,Answer 8,Answer 8,Answer 8,Answer 3,,Answer 7,Answer 4,Answer 2,Answer 6,,,Answer 1,,Answer 2,Answer 4,,,,,,Answer 1,Answer 1,Answer 3,Answer 2,Answer 1,,Answer 2,Answer 6,Answer 2,,Answer 8,Answer 2,,,,Answer 3,,,,,Answer 2,Answer 4,Answer 4,Answer 5,Answer 2,Answer 5,Answer 8,,,Answer 6,Answer 5,Answer 5,,Answer 4,,,,Answer 5,,Answer 6,Answer 6,Answer 8,,,,Answer 2,,Answer 5
